"file","role","risk_level","issue_types","evidence","recommended_action","migration_phase","remediation_owner"
"pos-tauri\src\renderer\components\skeletons\OrderDashboardSkeleton.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\SyncNotificationManager.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\SyncStatusIndicator.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\ReservationForm.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\ReservationInfoPanel.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\TableActionModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\TablesDashboard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\TableSelector.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\TerminalTypeIndicator.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ThemeSwitcher.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ThemeToggle.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\ConfirmDialog.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\ContentContainer.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\ErrorAlert.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\FadeInAnimation.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\FloatingActionButton.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\LoadingSpinner.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\OptimizedImg.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\pos-glass-components.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\POSGlassTooltip.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\ProgressStepper.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\PulseAnimation.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\SkeletonLoader.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\VarianceBadge.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\UpdateDialog.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\updates\UpdateNotification.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\updates\UpdateProgressModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\updates\UpdateReadyModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\updates\UpdateToast.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\barcode-scanner-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\i18n-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\module-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\navigation-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\shift-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\theme-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useAcquiredModules.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useActiveDrivers.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useAppEvents.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useAppointments.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useAutoUpdater.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useBarcodeScanner.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useBranchMenu.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useCustomerLookup.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useDeliveryValidation.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useDiscountSettings.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useDriveThru.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useErrorHandler.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useFeaturedItems.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useFeatures.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useKeyboardShortcut.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useMenuVersionPolling.ts","support","medium","renderer_menu_polling_removed","replaced renderer admin API polling with native `menu:version-checked` event consumption and optional manual `menu:sync` trigger","refactor","phase-5","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useOrderFlow.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useOrderStore.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useProductCatalog.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useRealTimeMenuSync.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useReservations.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useRooms.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useScheduledShifts.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useServices.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useTables.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useTerminalSettings.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useWindowState.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\index.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\lib\i18n.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\lib\supabase.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\AboutPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\AnalyticsPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\CouponsPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\DeliveryPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\DeliveryValidationTestPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\DeliveryZonesPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\IntegrationsPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\InventoryPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\KioskManagementPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\KitchenDisplayPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\\src\\renderer\\pages\\LoginPage.tsx","renderer","medium","legacy_pin_compat","see Audit Report","refactor","phase-1","pos-tauri-core"
"pos-tauri\src\renderer\pages\LoyaltyPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\MenuManagementPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\MenuPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\NewOrderPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\OnboardingPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\OrdersPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\PaymentTerminalsPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\ReportsPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\SuppliersPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\SystemHealthPage.tsx","support","low","renderer_shell_plugin_removed","replaced renderer plugin-shell folder-open with native diagnostics command bridge call","refactor","phase-5","pos-tauri-core"
"pos-tauri\src\renderer\pages\TablesPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\UsersPage.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\fast-food\DeliveryView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\fast-food\DriveThruView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\hotel\GuestBillingView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\hotel\HousekeepingView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\hotel\RoomsView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\restaurant\ReservationsView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\restaurant\TablesView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\retail\ProductCatalogView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\salon\AppointmentsView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\salon\ServiceCatalogView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\pages\verticals\salon\StaffScheduleView.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\polyfills.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\ActivityTracker.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\AppointmentsService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\CustomerService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\DriveThruService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\MenuService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\ProductCatalogService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\PromotionsService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\ReservationsService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\RoomsService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\ScreenCaptureHandler.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\ServicesService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\SubscriptionManager.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\services\terminal-credentials.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\styles\designSystem.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\styles\glassmorphism.css","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\styles\globals.css","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\assets.d.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\auth.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\customer.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\database.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\electron.d.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\global.d.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\orders.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\reports.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\shift.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\types\tables.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\api-helpers.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\cn.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\electron-api.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\format.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\orderNumberUtils.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\orderStatus.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\plugin-icons.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\pricing.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\promotions.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\reportExport.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\reservationUtils.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\session-utils.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\utils\web-bluetooth-printer-discovery.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\repo-shared\types\table-status.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\services\BranchMenuFilterService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\services\DeliveryZoneValidator.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\\src\\services\\OrderService.ts","service","high","local_storage_identity","see Audit Report","refactor","phase-1","pos-tauri-core"
"pos-tauri\src\services\printer-service.ts","decommissioned","low","dead_node_runtime_path","unused Node-era printer runtime removed in native-only cutover","delete","phase-8","pos-tauri-core"
"pos-tauri\src\services\RealtimeCustomerHandler.ts","support","low","electron_runtime_dead_code","deleted during migration cleanup","delete","phase-5","pos-tauri-core"
"pos-tauri\src\services\RealtimeOrderHandler.ts","support","low","electron_runtime_dead_code","deleted during migration cleanup","delete","phase-5","pos-tauri-core"
"pos-tauri\src\services\types\electron-api.d.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\services\types\node-thermal-printer.d.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\constants.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\constants\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\constants\pos-modules.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\feature-mapping.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\services\CustomerSyncService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\services\DeliveryValidationService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\services\ErrorHandlingService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\services\moduleRegistry.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\services\ModuleService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\services\PricingService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\services\upsellUrlService.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\\src\\shared\\supabase-config.ts","shared","critical","credential_exposure","see Audit Report","refactor","phase-1","pos-tauri-core"
"pos-tauri\src\shared\supabase.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\auth.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\combo.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\common.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\customer-sync.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\customer.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\database.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\delivery-validation.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\features.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\menu.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\modules.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\order-status.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\orders.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\organization.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\product.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\types\upsell.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\utils\debug-logger.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\shared\utils\error-handler.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\types\electron.d.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\SUPPORT.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\tailwind.config.js","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\tsconfig.json","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\tsconfig.node.json","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\updater.key.pub","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\vite.config.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"

